"region","in ha","in km ²","total","per 1 km ²"
POLSKA,31270525,312705,38382576,123
Dolnośląskie,1994670,19947,2900163,145
Kujawsko-pomorskie,1797134,17971,2072373,115
Lubelskie,2512246,25123,2108270,84
Lubuskie,1398793,13988,1011592,72
Łódzkie,1821895,18219,2454779,135
Małopolskie,1518279,15183,3410901,225
Mazowieckie,3555847,35559,5423168,153
Opolskie,941187,9412,982626,104
Podkarpackie,1784576,17846,2127164,119
Podlaskie,2018702,20187,1178353,58
Pomorskie,1832368,18323,2343928,128
Śląskie,1233309,12333,4517635,366
Świętokrzyskie,1171050,11710,1233961,105
Warmińsko-mazurskie,2417347,24173,1422737,59
Wielkopolskie,2982650,29826,3498733,117
Zachodniopomorskie,2290472,22905,1696193,74
