date;lozka;resp
2020-06-11;1700;75
2020-06-12;1629;77
2020-06-13;1711;77
2020-06-14;1748;83
2020-06-15;1736;78
2020-06-16;1806;80
2020-06-17;1693;76
2020-06-18;1849;72
2020-06-19;1886;72
2020-06-20;1931;72
2020-06-21;1877;71
2020-06-22;1899;72
2020-06-23;1938;68
2020-06-24;1965;65
2020-06-25;1974;74
2020-06-26;1933;77
2020-06-27;1869;80
2020-06-28;1845;83
2020-06-29;1797;86
2020-06-30;1811;85
2020-07-01;1923;78
2020-07-02;1787;73
2020-07-03;1743;72
2020-07-04;1731;73
2020-07-05;1765;77
2020-07-06;1790;76
2020-07-07;1658;73
2020-07-08;1683;66
2020-07-09;1687;65
2020-07-10;1597;66
2020-07-11;1617;67
2020-07-12;1610;65
2020-07-13;1640;69
2020-07-14;1581;74
2020-07-15;1575;73
2020-07-16;1550;68
2020-07-17;1604;71
2020-07-18;1551;66
2020-07-19;1560;67
2020-07-20;1575;72
2020-07-21;1607;73
2020-07-22;1644;73
2020-07-23;1626;71
2020-07-24;1617;61
2020-07-25;1594;65
2020-07-26;1601;68
2020-07-27;1625;69
2020-07-28;1655;61
2020-07-29;1687;66
2020-07-30;1694;63
2020-07-31;1778;72
2020-08-01;1841;74
2020-08-02;1835;76
2020-08-03;1841;74
2020-08-04;1859;65
2020-08-05;1898;72
2020-08-06;1913;72
2020-08-07;1928;73
2020-08-08;1928;72
2020-08-09;1930;73
2020-08-10;1929;71
2020-08-11;1985;74
2020-08-12;2021;76
2020-08-13;2059;82
2020-08-14;2040;79
2020-08-15;2028;84
2020-08-16;2035;81
2020-08-17;2040;83
2020-08-18;2057;82
2020-08-19;2097;83
2020-08-20;2110;85
2020-08-21;2151;84
2020-08-22;2189;79
2020-08-23;2195;81
2020-08-24;2207;83
2020-08-25;2167;76
2020-08-26;2170;79
2020-08-27;2185;82
2020-08-28;2221;89
2020-08-29;2237;87
2020-08-30;2242;85
2020-08-31;2249;83
2020-09-01;2138;86
2020-09-02;2168;83
2020-09-03;2170;81
2020-09-04;2179;75
2020-09-05;2090;77
2020-09-06;2091;79
2020-09-07;2113;81
2020-09-08;2042;81
2020-09-09;2070;81
2020-09-10;1924;84
2020-09-11;1957;82
2020-09-12;1945;85
2020-09-13;1961;86
2020-09-14;1972;87
2020-09-15;1996;92
2020-09-16;2007;86
2020-09-17;1917;84
2020-09-18;1925;83
2020-09-19;1977;83
2020-09-20;1985;86
2020-09-21;1979;83
2020-09-22;1993;85
2020-09-23;1971;89
2020-09-24;1964;91
2020-09-25;1995;96
2020-09-26;2134;110
2020-09-27;2223;124
2020-09-28;2305;134
2020-09-29;2399;141
2020-09-30;2481;152
2020-10-01;2560;159
2020-10-02;2702;166
2020-10-03;2850;179
2020-10-04;2977;191
2020-10-05;3158;219
2020-10-06;3719;263
2020-10-07;4000;283
2020-10-08;4138;296
2020-10-09;4407;320
2020-10-10;4725;346
2020-10-11;4924;383
2020-10-12;5262;404
2020-10-13;5669;421
2020-10-14;6084;467
2020-10-15;6538;508
2020-10-16;6980;540
2020-10-17;7612;604
2020-10-18;8076;649
2020-10-19;8375;672
2020-10-20;8962;725
2020-10-21;9439;757
2020-10-22;10091;812
2020-10-23;10788;851
2020-10-24;11496;911
2020-10-25;11887;947
2020-10-26;12282;999
2020-10-27;13291;1078
2020-10-28;13931;1150
2020-10-29;14631;1203
2020-10-30;15444;1254
2020-10-31;16144;1305
2020-11-01;16427;1371
2020-11-02;17225;1453
2020-11-03;18140;1550
2020-11-04;18654;1625
2020-11-05;19114;1615
2020-11-06;19479;1703
2020-11-07;20249;1813
2020-11-08;20214;1841
2020-11-09;20967;1804
2020-11-10;21640;1898
2020-11-11;21521;1975
2020-11-12;21899;2008
2020-11-13;22298;2047
2020-11-14;22320;2126
2020-11-15;21988;2114
2020-11-16;22458;2103
2020-11-17;23033;2114
2020-11-18;22812;2117
